date,nav,spot,prem_mid,opt_cost,payoff,hedge_pnl,hedge_cost,liab,short_notional,net_delta_units,n_sold,n_skipped,atm_2d,atm_5d,stress_-10%,stress_-5%,stress_+3%,stress_+5%,stress_+8%,stress_+12%,ret,real_hourly
2019-02-05,227.163,2737.7,0.0888866,0.00293662,0.162563,0.35351,0.00571485,0.318,890.596,0,40,0,0.101081,0.106031,-2.67318,-1.27636,-4.59609,-11.4393,-22.0827,-36.5577,0.00116304,False
2019-02-06,227.279,2731.61,0.0886923,0.00291235,0,-0.105952,0.0026443,0.179179,887.146,0,40,0,0.100267,0.105254,-1.49238,-0.714833,-3.6719,-10.5758,-21.555,-36.4418,0.000510666,False
2019-02-07,227.139,2706.05,0.104872,0.00334677,0,-0.255324,0.00228867,0.162628,880.128,0,40,0,0.120438,0.126551,-1.04605,-0.496177,-1.52622,-7.34386,-18.3786,-33.1306,-0.000613947,False
2019-02-08,227.172,2707.88,0.10784,0.00343316,0,-0.0324886,0.00181568,0.200334,882.19,0,40,0,0.122185,0.128566,-1.27242,-0.602052,-1.71705,-7.56916,-18.5454,-33.2451,0.000142634,False
2019-02-11,227.317,2709.8,0.101316,0.00325347,0,0.0294619,0.0010346,0.181191,884.522,0,40,0,0.116151,0.121928,-1.2317,-0.585346,-2.03302,-8.1966,-19.175,-33.9999,0.00064107,False
2019-02-12,227.583,2744.73,0.0924787,0.00301292,0,0.507049,0.00661988,0.5049,894.768,0,40,0,0.106856,0.11217,-3.73656,-1.76801,-4.47104,-11.0774,-21.4137,-35.4511,0.00117099,False
2019-02-13,227.902,2753.03,0.0995756,0.00319772,0.0236397,0.255009,0.00416747,0.51008,895.04,0,40,0,0.111211,0.116856,-3.81141,-1.80527,-4.40585,-10.8687,-21.2096,-35.1584,0.00139904,False
2019-02-14,227.941,2745.73,0.112507,0.00355439,0,-0.27072,0.00414197,0.305338,890.621,0,40,0,0.124303,0.130794,-2.13293,-1.01227,-3.17202,-9.47824,-20.3099,-34.7593,0.000170391,False
2019-02-15,228.619,2775.6,0.0926439,0.00301657,0.111966,0.866762,0.00924892,0.461746,896.953,0,40,0,0.103445,0.108847,-3.71024,-1.76467,-4.4469,-11.037,-21.3613,-35.3859,0.00297782,False
2019-02-19,228.9,2779.76,0.0864129,0.00285936,0.0568427,0.0265862,0.0108154,0.223407,895.781,0,40,0,0.099049,0.1039,-1.94745,-0.933433,-4.31459,-11.2255,-22.0953,-36.8478,0.00122833,False
