date,nav,spot,prem_mid,opt_cost,payoff,hedge_pnl,hedge_cost,liab,short_notional,net_delta_units,n_sold,n_skipped,ret,real_hourly
2023-02-14,253.681,4136.13,0.114013,0.00357061,0,-0.132031,0.00318366,0.174411,890.759,0,40,0,0.00146713,False
2023-02-15,253.795,4147.6,0.102691,0.00325452,0,0.00330619,0.00111389,0.162226,891.314,0,40,0,0.000448648,False
2023-02-16,253.666,4090.41,0.101898,0.00323003,0,-0.270096,0.00105313,0.118093,880.649,0,40,0,-0.000505718,False
2023-02-17,253.639,4079.09,0.118973,0.00371317,0,-0.0578489,0.00111855,0.201855,881.346,0,40,0,-0.000108294,False
2023-02-21,253.454,3997.34,0.133845,0.00414432,0,-0.357678,0.00109211,0.157954,871.536,0,40,0,-0.000730045,False
2023-02-22,253.526,3991.05,0.130949,0.00405998,0,-0.0235174,0.00077728,0.187697,877.525,0,40,0,0.000287436,False
2023-02-23,253.642,4012.32,0.123597,0.00384863,0,0.0494347,0.00162528,0.239319,886.287,0,40,0,0.000457291,False
2023-02-24,253.515,3970.04,0.127841,0.00398106,0,-0.318201,0.0013398,0.170916,881.219,0,40,0,-0.000501799,False
2023-02-27,253.637,3982.24,0.12332,0.00385049,0,0.0450239,0.00163087,0.211479,886.359,0,40,0,0.000482415,False
2023-02-28,253.729,3970.15,0.123669,0.00386177,0,-0.0532285,0.00102847,0.185764,885.29,0,40,0,0.000359827,False
2023-03-01,253.784,3951.39,0.126237,0.00393192,0,-0.0681646,0.00103977,0.183532,883.692,0,40,0,0.00021808,False
2023-03-02,253.934,3981.35,0.122066,0.00381514,0,0.127931,0.00177534,0.277564,890.841,0,40,0,0.00059253,False
2023-03-03,254.307,4045.64,0.113382,0.00356032,0.0522806,0.850179,0.00324864,0.809024,900.931,0,40,0,0.00146893,False
2023-03-06,254.77,4048.42,0.118814,0.00371873,0,0.0203467,0.0061228,0.476078,897.618,0,40,0,0.00181774,False
2023-03-07,254.615,3986.37,0.129469,0.0040265,0,-0.586037,0.00258042,0.167633,884.568,0,40,0,-0.000607332,False
2023-03-08,254.714,3992.01,0.126858,0.00394678,0,0.018363,0.000862215,0.208517,887.242,0,40,0,0.000390893,False
